Lon,Lat,Size,Intensity
-89.18,28.95,98.1,33.5
-89.45,28.28,82.0,34.0
-87.76,27.2,63.4,21.7
-89.63,29.92,44.0,16.7
-88.18,27.47,67.5,20.2
-88.53,26.92,50.9,17.2
-87.78,29.78,50.5,18.3
-85.3,29.18,37.1,36.7
-87.97,28.75,53.2,17.0
-88.33,29.6,75.0,22.8
-89.53,28.45,78.8,22.2
-88.37,27.8,82.0,23.5
-87.52,28.66,65.9,23.0
-89.72,29.29,41.2,12.7
-88.93,27.07,64.9,21.8
-88.27,27.94,85.9,33.6
-86.96,29.18,59.3,24.8
-87.22,27.77,83.1,19.8
-87.8,29.34,44.9,36.4
-90.27,29.5,36.6,36.9
-88.61,30.02,71.9,23.5
-87.8,27.68,54.0,20.4
-88.58,27.35,94.5,32.8
-89.87,29.9,55.5,19.2
-89.74,27.83,72.1,20.5
-88.73,28.51,60.5,24.8
-89.36,31.68,45.6,15.9
-86.98,29.22,56.6,19.4
-87.23,28.63,56.3,18.2
-88.21,29.21,60.8,35.5
-88.78,28.57,82.0,24.5
-87.7,27.85,87.3,33.4
-88.51,27.77,66.4,19.3
-87.08,28.14,106.8,32.7
-86.14,29.86,77.8,20.3
-89.99,29.89,31.7,37.3
-87.35,28.06,90.4,21.0
-88.16,27.75,65.0,22.6
-88.15,28.89,83.1,25.0
-84.59,27.39,78.4,21.1
-89.63,30.48,27.3,37.9
-87.71,27.69,55.0,17.7
-88.05,29.43,48.1,23.5
-86.73,29.31,83.3,34.5
-85.85,27.0,54.4,16.9
-86.98,29.46,58.9,21.5
-86.57,29.32,79.0,22.7
-87.45,27.61,51.4,35.1
-88.52,26.84,74.9,21.1
-85.95,28.32,49.3,35.6
-86.07,25.33,79.6,19.4
-86.29,27.76,58.4,20.8
-87.81,28.23,110.0,32.5
-88.87,29.46,33.0,37.0
-86.76,26.35,86.7,32.6
-85.25,28.1,76.3,23.1
-89.83,29.93,73.0,18.8
-87.78,29.57,92.2,34.2
-87.67,26.17,67.9,18.1
-87.58,27.42,61.9,22.6
-88.66,27.58,59.7,20.3
-87.6,30.01,83.1,25.0
-88.54,28.16,58.3,18.5
-88.26,26.98,100.5,32.3
-89.4,27.25,73.6,20.1
-87.35,27.29,57.3,19.3
-88.24,30.44,39.0,37.3
-86.94,30.75,61.5,26.5
-87.89,28.85,97.5,33.5
-87.21,29.21,107.2,33.2
-85.13,27.51,64.7,21.2
-85.48,28.62,98.7,33.3
-86.86,27.66,58.5,18.6
-88.91,28.64,72.4,21.1
-85.29,27.25,64.6,18.9
-88.04,28.34,79.0,34.1
-87.96,28.95,81.3,34.4
-87.3,26.64,58.1,19.8
-88.55,28.66,24.6,37.0
-86.77,26.48,99.6,32.1
-88.35,29.46,67.7,20.1
-86.84,27.68,62.6,24.7
-85.99,27.4,57.4,23.4
-86.51,28.26,63.8,22.3
-87.93,27.88,60.5,24.2
-87.09,29.05,72.5,18.1
-85.88,27.56,57.1,19.4
-86.75,27.93,47.0,18.8
-86.53,28.7,82.6,21.3
-87.86,26.73,65.4,21.3
-87.58,29.2,69.9,20.4
-88.17,26.67,107.8,31.8
-86.79,30.34,76.0,21.9
-87.12,29.62,90.1,34.3
-86.81,28.57,54.0,19.6
-86.19,28.28,94.6,24.4
-87.75,28.37,101.3,33.1
-86.27,28.72,42.4,10.2
-87.99,29.01,76.4,20.8
-87.94,27.42,83.5,24.2
-89.65,30.74,69.0,20.1
-87.13,30.26,45.8,14.7
-88.03,27.53,72.8,17.7
-87.61,28.46,73.3,22.5
-86.8,28.24,84.8,33.8
-88.35,28.79,51.6,35.7
